ID,SH,SG,G,A,OF,FD,FC,SV,YC,RC
249,3.0,5.0,2.0,2.0,5.0,-5.0,2.0,-4.0,-3.0,0
250,0.0,-1.0,2.0,2.0,-1.0,-1.0,-4.0,4.0,0,0
251,-1.0,3.0,1.0,1.0,-4.0,0.0,1.0,2.0,-1.0,0
252,11.0,4.0,1.0,2.0,-1.0,-4.0,3.0,2.0,0,0
253,11.0,7.0,4.0,2.0,2.0,-5.0,1.0,-2.0,1.0,0
254,3.0,2.0,-1.0,-1.0,-1.0,3.0,0.0,-6.0,2.0,0
255,12.0,7.0,0.0,-1.0,2.0,3.0,-5.0,-7.0,0.0,0
256,3.0,-1.0,0,0,3.0,0.0,-1.0,0,0.0,0
257,-6.0,-3.0,-1.0,-1.0,0,-3.0,-2.0,2.0,1.0,0
258,-3.0,2.0,2.0,1.0,1.0,4.0,0.0,3.0,1.0,0
259,2.0,2.0,-1.0,0.0,4.0,8.0,-6.0,-2.0,1.0,0
260,7.0,-1.0,-1.0,-2.0,2.0,1.0,2.0,2.0,0.0,0
261,-1.0,1.0,-1.0,-1.0,0.0,7.0,-7.0,-3.0,-2.0,0
262,4.0,0.0,1.0,1.0,0.0,3.0,-4.0,2.0,0,0
263,20.0,7.0,3.0,3.0,1.0,1.0,-3.0,-5.0,-2.0,-1.0
264,2.0,1.0,0.0,0.0,4.0,4.0,-3.0,-1.0,-2.0,0
265,-4.0,-3.0,0.0,1.0,2.0,-6.0,6.0,4.0,1.0,0
266,19.0,9.0,-2.0,-1.0,1.0,-2.0,4.0,-10.0,-2.0,0
267,-5.0,-1.0,0.0,-1.0,1.0,-5.0,5.0,1.0,2.0,0
268,10.0,7.0,2.0,0,0.0,-1.0,-2.0,2.0,-2.0,0
269,-1.0,1.0,0.0,0.0,1.0,-3.0,2.0,-1.0,-4.0,0
270,2.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0
271,13.0,0.0,2.0,1.0,-1.0,-2.0,9.0,2.0,1.0,0
272,-1.0,1.0,1.0,1.0,-4.0,-3.0,4.0,2.0,1.0,0
273,8.0,2.0,0.0,0.0,-2.0,-6.0,5.0,-2.0,1.0,0
274,1.0,1.0,2.0,0,-3.0,-4.0,-1.0,-1.0,-2.0,0
275,8.0,2.0,0.0,-1.0,1.0,5.0,-6.0,-1.0,-1.0,0
276,-8.0,-4.0,0,0,-1.0,-6.0,6.0,0,1.0,0
277,2.0,2.0,0,0,-2.0,3.0,-2.0,0,1.0,0
278,5.0,1.0,-3.0,-1.0,0.0,-5.0,8.0,-6.0,2.0,0
279,6.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,-3.0,0
280,-7.0,-10.0,-5.0,-4.0,-4.0,4.0,5.0,-1.0,3.0,1.0
281,13.0,4.0,2.0,2.0,0.0,2.0,-1.0,-2.0,2.0,0
282,-4.0,-2.0,-2.0,-1.0,3.0,5.0,1.0,-4.0,0.0,0
283,5.0,2.0,0.0,0.0,3.0,9.0,-2.0,2.0,0.0,0
284,15.0,7.0,2.0,1.0,1.0,9.0,-9.0,-4.0,-3.0,0
285,-2.0,-2.0,1.0,2.0,0.0,4.0,-4.0,3.0,-4.0,0
286,4.0,-1.0,0,0,0.0,-2.0,3.0,0,1.0,1.0
287,8.0,0.0,0.0,0.0,-1.0,7.0,-7.0,0.0,1.0,0
288,-1.0,0.0,-1.0,0.0,0.0,5.0,-6.0,-2.0,0.0,0
289,2.0,-3.0,-2.0,-1.0,2.0,-2.0,2.0,1.0,1.0,0
290,-6.0,-2.0,0,0,1.0,3.0,-4.0,0,1.0,0
291,6.0,0.0,0.0,-1.0,0,3.0,5.0,-2.0,0.0,0
292,-2.0,-3.0,-1.0,-1.0,-2.0,-2.0,3.0,-3.0,0.0,0
293,-1.0,-6.0,-3.0,-2.0,0.0,7.0,1.0,-1.0,-1.0,0
294,11.0,6.0,1.0,1.0,-1.0,-5.0,5.0,1.0,1.0,0
295,12.0,3.0,-1.0,0,1.0,-4.0,3.0,-8.0,1.0,0
296,8.0,5.0,4.0,0.0,0,-4.0,1.0,-2.0,0.0,-2.0
297,1.0,-1.0,-1.0,1.0,1.0,-2.0,4.0,2.0,3.0,0
298,13.0,-1.0,0.0,-1.0,0.0,4.0,-4.0,1.0,1.0,0
299,-6.0,-1.0,-2.0,0,2.0,-3.0,7.0,1.0,1.0,0
300,8.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0,0
301,-8.0,-2.0,-1.0,1.0,-1.0,2.0,-5.0,0.0,0.0,0
302,-10.0,0.0,0.0,0.0,-1.0,-5.0,4.0,0.0,1.0,0
303,10.0,7.0,5.0,0,0,-4.0,-1.0,2.0,0,0
304,14.0,0.0,1.0,1.0,0,-3.0,5.0,4.0,0.0,0
305,8.0,1.0,-1.0,-1.0,-2.0,-2.0,1.0,-4.0,1.0,0
306,-3.0,-1.0,0.0,0.0,-1.0,-1.0,4.0,2.0,1.0,0
307,-3.0,2.0,1.0,1.0,0.0,5.0,-5.0,-1.0,-2.0,0
308,0.0,-2.0,-1.0,-1.0,0.0,-2.0,2.0,-2.0,-3.0,0
309,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0
310,12.0,4.0,2.0,0,-4.0,6.0,-7.0,1.0,0.0,0
311,9.0,1.0,-1.0,2.0,3.0,6.0,-4.0,-1.0,-1.0,0
312,20.0,4.0,2.0,1.0,0.0,4.0,-5.0,2.0,0.0,0
313,5.0,-1.0,0.0,-1.0,-1.0,-2.0,2.0,2.0,2.0,-1.0
314,19.0,8.0,1.0,1.0,0.0,-1.0,1.0,-7.0,0.0,-1.0
315,7.0,6.0,2.0,1.0,-1.0,-1.0,0.0,0,-1.0,0
316,5.0,-2.0,-2.0,-1.0,0.0,1.0,3.0,-2.0,3.0,0
317,-6.0,0.0,0.0,0,0.0,-7.0,5.0,-2.0,3.0,0
318,4.0,-4.0,-1.0,0,3.0,4.0,-3.0,-1.0,1.0,0
319,4.0,1.0,1.0,0,2.0,7.0,-7.0,3.0,0,-1.0
320,10.0,3.0,0.0,0.0,2.0,3.0,1.0,-3.0,1.0,0
325,8.0,7.0,2.0,1.0,-1.0,-3.0,0.0,1.0,0.0,0
326,8.0,3.0,-2.0,-1.0,1.0,10.0,-5.0,-4.0,1.0,0
327,18.0,2.0,0,0,3.0,-3.0,6.0,1.0,2.0,-2.0
328,21.0,6.0,5.0,2.0,1.0,5.0,-4.0,1.0,0.0,0
329,-1.0,1.0,0.0,0.0,-2.0,0.0,0.0,-1.0,2.0,0
330,-3.0,0.0,2.0,2.0,0,-5.0,1.0,4.0,-1.0,0
331,9.0,2.0,0,0,-1.0,6.0,-7.0,0,-2.0,0
332,-2.0,2.0,2.0,1.0,-4.0,-5.0,2.0,4.0,1.0,0
333,-4.0,-3.0,-2.0,-2.0,2.0,-6.0,5.0,-2.0,1.0,0
336,10.0,5.0,-1.0,-2.0,1.0,8.0,-3.0,-7.0,-1.0,-1.0
337,8.0,1.0,2.0,0,-2.0,6.0,-9.0,3.0,-1.0,0
338,10.0,-1.0,-3.0,-1.0,3.0,4.0,5.0,-2.0,0.0,0
339,14.0,3.0,1.0,1.0,-5.0,4.0,-6.0,2.0,-1.0,0
340,-4.0,2.0,2.0,1.0,-1.0,1.0,-2.0,0.0,-1.0,0
